info: socket.io started
U: 266,	MR/S: 9869,	MS/S: 9869,	MR/S/U: 36.5,	MS/S/U: 36.5,	CPU: 65.0,	Mem: 1.8
U: 268,	MR/S: 10303,	MS/S: 10303,	MR/S/U: 37.8,	MS/S/U: 37.8,	CPU: 65.0,	Mem: 1.8
U: 270,	MR/S: 9678,	MS/S: 9678,	MR/S/U: 35.3,	MS/S/U: 35.3,	CPU: 65.0,	Mem: 1.8
U: 272,	MR/S: 10074,	MS/S: 10074,	MR/S/U: 36.4,	MS/S/U: 36.4,	CPU: 65.0,	Mem: 1.8
U: 274,	MR/S: 10153,	MS/S: 10153,	MR/S/U: 36.3,	MS/S/U: 36.3,	CPU: 65.0,	Mem: 1.9
U: 276,	MR/S: 10000,	MS/S: 10000,	MR/S/U: 35.6,	MS/S/U: 35.6,	CPU: 64.9,	Mem: 1.9
U: 278,	MR/S: 10099,	MS/S: 10099,	MR/S/U: 35.6,	MS/S/U: 35.6,	CPU: 64.9,	Mem: 1.9
U: 280,	MR/S: 9872,	MS/S: 9872,	MR/S/U: 34.5,	MS/S/U: 34.5,	CPU: 64.9,	Mem: 1.9
U: 282,	MR/S: 10088,	MS/S: 10088,	MR/S/U: 35.2,	MS/S/U: 35.2,	CPU: 64.9,	Mem: 1.9
U: 284,	MR/S: 10095,	MS/S: 10095,	MR/S/U: 35,	MS/S/U: 35,	CPU: 64.9,	Mem: 1.9
U: 286,	MR/S: 10094,	MS/S: 10094,	MR/S/U: 34.7,	MS/S/U: 34.7,	CPU: 64.9,	Mem: 1.9
U: 288,	MR/S: 10082,	MS/S: 10082,	MR/S/U: 34.3,	MS/S/U: 34.3,	CPU: 64.9,	Mem: 1.9
U: 290,	MR/S: 9798,	MS/S: 9798,	MR/S/U: 33.2,	MS/S/U: 33.2,	CPU: 64.9,	Mem: 1.9
U: 292,	MR/S: 10161,	MS/S: 10161,	MR/S/U: 34.2,	MS/S/U: 34.2,	CPU: 64.9,	Mem: 1.9
U: 294,	MR/S: 9823,	MS/S: 9823,	MR/S/U: 32.9,	MS/S/U: 32.9,	CPU: 64.9,	Mem: 1.9
U: 296,	MR/S: 9895,	MS/S: 9895,	MR/S/U: 32.8,	MS/S/U: 32.8,	CPU: 64.9,	Mem: 1.9
U: 298,	MR/S: 10035,	MS/S: 10035,	MR/S/U: 33.3,	MS/S/U: 33.3,	CPU: 64.9,	Mem: 2.0
U: 300,	MR/S: 9758,	MS/S: 9758,	MR/S/U: 32,	MS/S/U: 32,	CPU: 64.8,	Mem: 2.0
U: 302,	MR/S: 10026,	MS/S: 10026,	MR/S/U: 32.6,	MS/S/U: 32.6,	CPU: 64.8,	Mem: 2.0
U: 304,	MR/S: 9935,	MS/S: 9935,	MR/S/U: 32.2,	MS/S/U: 32.2,	CPU: 64.8,	Mem: 2.0
U: 306,	MR/S: 10197,	MS/S: 10197,	MR/S/U: 32.8,	MS/S/U: 32.8,	CPU: 64.8,	Mem: 2.0
U: 308,	MR/S: 10136,	MS/S: 10136,	MR/S/U: 32.4,	MS/S/U: 32.4,	CPU: 64.8,	Mem: 2.0
U: 310,	MR/S: 9699,	MS/S: 9699,	MR/S/U: 30.7,	MS/S/U: 30.7,	CPU: 64.8,	Mem: 2.0
U: 312,	MR/S: 10222,	MS/S: 10222,	MR/S/U: 32.2,	MS/S/U: 32.2,	CPU: 64.8,	Mem: 2.0
U: 314,	MR/S: 10234,	MS/S: 10234,	MR/S/U: 32.1,	MS/S/U: 32.1,	CPU: 64.8,	Mem: 2.0
U: 316,	MR/S: 10196,	MS/S: 10196,	MR/S/U: 31.7,	MS/S/U: 31.7,	CPU: 64.8,	Mem: 2.0
U: 318,	MR/S: 10327,	MS/S: 10327,	MR/S/U: 31.9,	MS/S/U: 31.9,	CPU: 64.8,	Mem: 2.0
U: 320,	MR/S: 9953,	MS/S: 9953,	MR/S/U: 30.6,	MS/S/U: 30.6,	CPU: 64.8,	Mem: 2.1
U: 322,	MR/S: 10337,	MS/S: 10337,	MR/S/U: 31.6,	MS/S/U: 31.6,	CPU: 64.8,	Mem: 2.1
U: 324,	MR/S: 10042,	MS/S: 10042,	MR/S/U: 30.5,	MS/S/U: 30.5,	CPU: 64.8,	Mem: 2.1
U: 326,	MR/S: 10195,	MS/S: 10195,	MR/S/U: 30.8,	MS/S/U: 30.8,	CPU: 64.8,	Mem: 2.1
U: 328,	MR/S: 10257,	MS/S: 10257,	MR/S/U: 30.7,	MS/S/U: 30.7,	CPU: 64.8,	Mem: 2.1
U: 330,	MR/S: 10267,	MS/S: 10267,	MR/S/U: 30.6,	MS/S/U: 30.6,	CPU: 64.8,	Mem: 1.7
U: 332,	MR/S: 10240,	MS/S: 10240,	MR/S/U: 30.4,	MS/S/U: 30.4,	CPU: 64.8,	Mem: 1.8
U: 334,	MR/S: 10201,	MS/S: 10201,	MR/S/U: 30.1,	MS/S/U: 30.1,	CPU: 64.8,	Mem: 1.8
U: 336,	MR/S: 10295,	MS/S: 10295,	MR/S/U: 30.2,	MS/S/U: 30.2,	CPU: 64.7,	Mem: 1.8
U: 338,	MR/S: 10255,	MS/S: 10255,	MR/S/U: 29.9,	MS/S/U: 29.9,	CPU: 64.7,	Mem: 1.8
U: 340,	MR/S: 10008,	MS/S: 10008,	MR/S/U: 28.9,	MS/S/U: 28.9,	CPU: 64.7,	Mem: 1.8
U: 342,	MR/S: 10196,	MS/S: 10196,	MR/S/U: 29.5,	MS/S/U: 29.5,	CPU: 64.7,	Mem: 1.8
